Block #,Plot #,Sub #,Treatment,Background,Density,Phytometer,Back.Ind #,Phyto #,CRCO,ERBO,FIGA,GAMU,HYGL,SIGA,other,
1,43,1,D,TWIL-U,H,BRHO,2,1,6,0,4,0,0,0,0,
1,43,2,D,TWIL-U,H,PLER,8,3,8,0,2,0,0,0,0,
1,43,3,D,TWIL-U,H,THIR-U,11,0,31,1,4,0,1,0,0,
1,43,4,D,TWIL-U,H,THIR-I,10,2,6,0,5,0,0,0,0,
1,44,1,D,THIR-U,L,PLER,4,1,0,0,6,0,0,0,0,
1,44,2,D,THIR-U,L,BRHO,5,3,2,0,5,0,0,0,0,
1,44,3,D,THIR-U,L,TWIL-U,7,1,17,0,0,0,0,0,0,
1,44,4,D,THIR-U,L,TWIL-I,3,1,8,1,0,0,0,0,0,
1,45,1,D,TWIL-U,L,THIR-I,10,2,14,0,3,0,1,0,0,
1,45,2,D,TWIL-U,L,BHRO,5,2,5,0,0,0,1,0,0,
1,45,3,D,TWIL-U,L,PLER,4,1,6,0,0,0,0,0,0,
1,45,4,D,TWIL-U,L,THIR-U,7,1,6,0,0,0,1,0,0,
1,46,1,D,THIR-U,H,TWIL-U,11,2,16,0,2,0,0,0,0,
1,46,2,D,THIR-U,H,PLER,3,2,13,0,1,0,1,0,0,
1,46,3,D,THIR-U,H,BRHO,10,3,20,0,0,0,0,0,0,
1,46,4,D,THIR-U,H,TWIL-I,6,0,45,0,6,0,1,0,1,
3,43,1,D,THIR-U,H,TWIL-U,9,1,9,0,5,0,0,0,2,
3,43,2,D,THIR-U,H,PLER,2,2,0,0,2,0,0,0,0,
3,43,3,D,THIR-U,H,TWIL-I,5,2,0,1,0,0,0,0,4,
3,43,4,D,THIR-U,H,BRHO,3,3,2,0,0,0,0,0,0,
3,44,1,D,TWIL-U,H,THIR-U,16,0,3,0,0,0,0,0,0,
3,44,2,D,TWIL-U,H,THIR-U,7,0,0,0,0,0,0,0,0,
3,44,3,D,TWIL-U,H,BRHO,5,2,0,0,0,0,0,0,1,
3,44,4,D,TWIL-U,H,PLER,3,1,0,0,0,0,0,0,1,
3,45,1,D,TWIL-U,L,PLER,6,2,0,0,0,0,0,0,0,
3,45,2,D,TWIL-U,L,THIR-I,10,2,5,0,0,0,0,0,4,
3,45,3,D,TWIL-U,L,THIR-U,6,0,0,1,0,0,1,0,0,
3,45,4,D,TWIL-U,L,BRHO,4,3,0,2,0,0,3,0,1,
3,46,1,D,THIR-U,L,TWIL-U,2,0,15,0,0,0,0,0,13,
3,46,2,D,THIR-U,L,PLER,9,0,11,0,0,0,1,0,4,
3,46,3,D,THIR-U,L,TWIL-I,1,1,10,0,0,0,0,0,0,
3,46,4,D,THIR-U,L,BRHO,2,1,10,0,0,0,0,0,1,
4,43,1,D,TWIL-U,L,THIR-I,8,0,0,0,0,0,0,0,0,
4,43,2,D,TWIL-U,L,PLER,3,3,0,0,1,0,0,0,0,
4,43,3,D,TWIL-U,L,BRHO,2,3,5,0,0,0,0,0,0,
4,43,4,D,TWIL-U,L,THIR-U,7,0,0,0,0,0,1,0,4,
4,44,1,D,THIR-U,L,TWIL-I,3,1,0,0,1,0,0,0,3,
4,44,2,D,THIR-U,L,BRHO,0,2,0,0,0,0,0,0,1,
4,44,3,D,THIR-U,L,TWIL-U,7,0,0,0,5,0,1,0,0,
4,44,4,D,THIR-U,L,PLER,2,1,0,0,1,0,0,0,1,
4,45,1,D,TWIL-U,H,THIR-U,15,0,0,0,0,0,0,0,0,
4,45,2,D,TWIL-U,H,BRHO,1,3,0,0,2,0,0,0,2,
4,45,3,D,TWIL-U,H,THIR-I,14,1,0,0,4,0,0,0,0,
4,45,4,D,TWIL-U,H,PLER,5,3,0,0,2,0,0,0,0,
4,46,1,D,THIR-U,H,PLER,0,2,2,0,1,0,0,0,2,
4,46,2,D,THIR-U,H,BRHO,1,3,1,0,0,0,0,0,0,
4,46,3,D,THIR-U,H,TWIL-I,4,0,17,0,0,0,0,0,3,
4,46,4,D,THIR-U,H,TWIL-U,7,0,25,0,0,0,0,0,2,
5,43,1,A,THIR-U,L,PLER,6,3,0,0,0,0,0,0,0,
5,43,2,A,THIR-U,L,TWIL-U,3,0,0,0,0,0,1,0,0,
5,43,3,A,THIR-U,L,BRHO,4,2,0,0,0,0,2,0,1,
5,43,4,A,THIR-U,L,TWIL-I,1,0,0,0,0,0,0,0,0,
5,44,1,A,TWIL-U,L,BRHO,3,2,0,0,0,0,0,0,0,
5,44,2,A,TWIL-U,L,PLER,2,3,0,0,0,0,1,0,5,
5,44,3,A,TWIL-U,L,THIR-U,6,0,0,0,0,0,0,0,0,
5,44,4,A,TWIL-U,L,THIR-I,1,1,0,0,0,0,2,0,2,
5,45,1,A,THIR-U,H,PLER,5,2,0,0,0,0,1,0,3,
5,45,2,A,THIR-U,H,TWIL-U,2,1,0,0,0,0,0,0,1,
5,45,3,A,THIR-U,H,TWIL-I,7,0,0,0,0,0,8,0,4,
5,45,4,A,THIR-U,H,BRHO,5,2,0,0,0,0,0,0,0,
5,46,1,A,TWIL-U,H,THIR-U,1,2,0,0,0,0,1,0,1,
5,46,2,,TWIL-U,H,THIR-I,6,1,0,1,0,0,0,0,0,
5,46,3,A,TWIL-U,H,BRHO,1,3,0,0,0,0,1,0,1,
5,46,4,A,TWIL-U,H,PLER,3,1,0,0,0,0,0,0,0,
7,43,1,A,THIR-U,L,TWIL-I,2,1,0,0,0,0,2,0,0,
7,43,2,A,THIR-U,L,BRHO,2,3,1,0,0,0,0,0,0,
7,43,3,A,THIR-U,L,PLER,3,1,2,0,0,0,0,0,0,
7,43,4,A,THIR-U,L,TWIL-U,3,0,0,0,0,0,0,0,0,
7,44,1,A,TWIL-U,L,THIR-U,7,0,0,0,0,0,0,0,0,
7,44,2,A,TWIL-U,L,THIR-I,0,0,0,0,0,0,0,0,0,
7,44,3,A,TWIL-U,L,BRHO,9,0,1,0,0,0,0,0,0,
7,44,4,A,TWIL-U,L,PLER,1,1,0,0,0,0,0,0,0,
7,45,1,A,THIR-U,H,TWIL-U,2,1,0,0,0,0,0,0,0,
7,45,2,A,THIR-U,H,TWIL-I,5,1,0,0,2,0,0,0,0,
7,45,3,A,THIR-U,H,BRHO,4,3,0,0,0,0,1,0,0,
7,45,4,A,THIR-U,H,PLER,4,2,0,0,1,0,0,0,0,
7,46,1,A,TWIL-U,H,THIR-I,7,1,0,0,0,0,1,0,0,
7,46,2,A,TWIL-U,H,BRHO,7,2,0,0,0,0,0,0,0,
7,46,3,A,TWIL-U,H,PLER,7,2,0,0,0,0,0,0,1,
7,46,4,A,TWIL-U,H,THIR-U,8,1,0,0,0,0,0,0,5,
8,43,1,A,TWIL-U,L,BRHO,0,3,0,0,0,4,0,0,0,
8,43,2,A,TWIL-U,L,PLER,0,3,0,0,0,2,0,0,0,
8,43,3,A,TWIL-U,L,THIR-I,1,1,0,0,0,8,3,0,0,
8,43,4,A,TWIL-U,L,THIR-U,0,0,0,1,0,10,0,0,0,
8,44,1,A,THIR-U,H,TWIL-U,3,1,0,0,0,7,0,0,0,
8,44,2,A,THIR-U,H,TWIL-I,3,1,1,0,0,3,0,0,0,
8,44,3,A,THIR-U,H,BRHO,2,2,0,0,0,0,0,0,0,
8,44,4,A,THIR-U,H,PLER,1,1,0,0,0,3,0,0,0,
8,45,1,A,TWIL-U,H,THIR-I,1,0,0,0,0,5,0,0,0,
8,45,2,A,TWIL-U,H,BRHO,1,2,0,0,0,0,0,0,0,
8,45,3,A,TWIL-U,H,THIR-U,2,0,0,0,0,5,0,0,0,
8,45,4,A,TWIL-U,H,PLER,1,2,0,0,0,1,0,0,0,
8,46,1,A,THIR-U,L,TWIL-I,3,0,0,1,0,1,0,0,0,
8,46,2,A,THIR-U,L,BRHO,3,3,0,1,0,0,1,0,0,
8,46,3,A,THIR-U,L,PLER,1,1,0,0,0,1,0,0,0,
8,46,4,A,THIR-U,L,TWIL-U,2,0,0,2,0,2,2,0,0,
12,43,1,D,TWIL-U,H,BRHO,3,3,2,0,0,0,0,0,0,
12,43,2,D,TWIL-U,H,PLER,6,2,0,0,0,0,1,0,0,
12,43,3,D,TWIL-U,H,THIR-I,14,1,4,0,0,0,0,0,0,
12,43,4,D,TWIL-U,H,THIR-U,14,1,3,0,0,0,0,0,1,
12,44,1,D,THIR-U,L,TWIL-I,7,0,2,0,4,0,0,0,0,
12,44,2,D,THIR-U,L,BRHO,1,3,0,0,0,0,0,0,0,
12,44,3,D,THIR-U,L,PLER,5,2,0,0,0,0,0,0,0,
12,44,4,D,THIR-U,L,TWIL-U,7,0,0,0,0,0,1,0,0,
12,45,1,D,THIR-U,H,TWIL-U,12,0,0,0,0,1,0,0,0,
12,45,2,D,THIR-U,H,PLER,4,2,0,0,0,1,0,0,1,
12,45,3,D,THIR-U,H,BRHO,4,3,1,0,0,0,0,0,0,
12,45,4,D,THIR-U,H,TWIL-I,6,1,4,0,0,2,0,0,0,
12,46,1,D,TWIL-U,L,THIR-U,7,1,0,0,0,2,0,0,0,
12,46,2,D,TWIL-U,L,BRHO,3,3,0,0,0,0,0,0,0,
12,46,3,D,TWIL-U,L,PLER,1,2,0,0,0,2,0,0,0,
12,46,4,D,TWIL-U,L,THIR-I,11,0,2,0,0,0,0,0,2,
14,43,1,D,THIR-U,H,PLER,5,3,1,0,0,0,0,0,0,
14,43,2,D,THIR-U,H,TWIL-U,6,2,4,0,0,0,0,0,0,
14,43,3,D,THIR-U,H,BRHO,5,3,4,0,0,0,0,1,0,
14,43,4,D,THIR-U,H,TWIL-I,8,1,16,0,0,2,0,0,0,
14,44,1,D,TWIL-U,H,BRHO,5,2,13,0,0,0,0,1,0,
14,44,2,D,TWIL-U,H,THIR-U,15,1,13,0,0,0,0,0,0,
14,44,3,D,TWIL-U,H,THIR-I,16,2,3,0,0,1,0,1,0,
14,44,4,D,TWIL-U,H,PLER,6,2,12,0,0,0,1,0,0,
14,45,1,D,TWIL-U,L,PLER,4,2,5,0,0,0,0,0,0,
14,45,2,D,TWIL-U,L,BRHO,6,2,4,0,0,0,0,0,0,
14,45,3,D,TWIL-U,L,THIR-I,14,3,19,0,0,1,0,0,0,
14,45,4,D,TWIL-U,L,THIR-U,15,0,22,0,0,0,0,1,0,
14,46,1,D,THIR-U,L,BRHO,1,2,2,0,0,0,0,0,0,
14,46,2,D,THIR-U,L,TWIL-U,8,1,0,0,0,2,0,0,0,
14,46,3,D,THIR-U,L,TWIL-I,8,0,14,0,0,2,0,0,0,
14,46,4,D,THIR-U,L,PLER,3,1,0,0,0,0,0,0,1,
15,43,1,A,TWIL-U,H,PLER,5,2,0,0,0,0,0,0,0,
15,43,2,A,TWIL-U,H,THIR-U,16,1,0,0,0,0,1,0,1,
15,43,3,A,TWIL-U,H,BRHO,6,3,0,0,0,0,0,0,0,
15,43,4,A,TWIL-U,H,THIR-I,18,1,0,0,0,0,0,0,0,
15,44,1,A,TWIL-U,L,PLER,2,2,0,0,0,0,0,0,0,
15,44,2,A,TWIL-U,L,THIR-U,15,2,0,0,0,5,0,0,0,
15,44,3,A,TWIL-U,L,BRHO,4,3,0,0,0,1,0,0,0,
15,44,4,A,TWIL-U,L,THIR-I,6,0,0,1,0,5,1,0,0,
15,45,1,A,THIR-U,H,BRHO,1,3,0,0,0,2,0,0,0,
15,45,2,A,THIR-U,H,PLER,2,2,0,0,0,4,0,0,0,
15,45,3,A,THIR-U,H,TWIL-I,11,0,0,2,0,8,0,0,0,
15,45,4,A,THIR-U,H,TWIL-U,7,0,0,0,0,5,1,0,0,
15,46,1,A,THIR-U,L,BRHO,0,3,0,0,0,0,0,0,0,
15,46,2,A,THIR-U,L,PLER,2,2,0,0,0,0,0,0,1,
15,46,3,A,THIR-U,L,TWIL-I,8,0,0,0,0,1,3,0,2,
15,46,4,A,THIR-U,L,TWIL-U,7,0,0,0,0,3,3,0,0,
16,43,1,A,TWIL-U,H,THIR-I,6,0,0,0,0,0,0,0,2,
16,43,2,A,TWIL-U,H,BRHO,5,2,0,0,0,0,0,0,0,
16,43,3,A,TWIL-U,H,THIR-U,4,2,0,0,0,0,0,0,0,
16,43,4,A,TWIL-U,H,PLER,4,1,0,0,0,0,0,0,0,
16,44,1,A,THIR-U,H,BRHO,2,2,0,0,0,0,0,0,0,
16,44,2,A,THIR-U,H,TWIL-U,3,0,0,0,0,0,0,0,0,
16,44,3,A,THIR-U,H,TWIL-I,11,0,0,0,0,0,0,0,1,
16,44,4,A,THIR-U,H,PLER,1,3,0,0,0,0,0,0,0,
16,45,1,A,THIR-U,L,TWIL-I,5,0,0,0,0,0,0,0,0,
16,45,2,A,THIR-U,L,PLER,2,2,0,0,0,0,0,0,1,
16,45,3,A,THIR-U,L,TWIL-U,2,2,0,0,0,0,0,0,0,
16,45,4,A,THIR-U,L,BRHO,3,2,0,0,0,0,0,0,0,
16,46,1,A,TWIL-U,L,PLER,3,2,0,0,0,0,0,0,0,
16,46,2,A,TWIL-U,L,THIR-U,7,3,0,0,0,0,0,0,0,
16,46,3,A,TWIL-U,L,BRHO,5,3,0,0,0,0,0,0,0,
16,46,4,A,TWIL-U,L,THIR-I,5,0,0,1,0,0,0,0,0,
