"Species","surv.mean.p","surv.se.p"
"Acmispon americanus",0.16,0.0158113883008419
"Amsinckia menziesii",0.418,0.01113552872566
"Anagallis arvensis",0.834,0.0314006369362152
"Avena barbata",0.01,0.00774596669241483
"Brassica nigra",0.036,0.0143527000944073
"Bromus hordeaceus",0,0
"Centaurea solstitialis",0.456,0.0501597448159378
"Clarkia purpurea",0.048,0.0058309518948453
"Elymus caput-medusae",0,0
"Festuca perennis",0.024,0.00509901951359279
"Gilia tricolor",0,0
"Lepidium nitidum",0.436,0.0732529862872498
"Madia elegans",0.138,0.0231084400165827
"Micropus californicus",0.17,0.0497995983919549
"Plagiobothrys nothofulvus",0.432,0.0427083130081252
"Plantago erecta",0.328,0.0605309838016862
"Trifolium hirtum",0.142,0.0185472369909914
"Trifolium willdenovii",0.242,0.027459060435492
