"cwm.height","cwm.ldmc","cwm.sla","cwm.rmf","cwm.crsl","cwm.pf","cwm.d","ACAM","AMME","ANAR","BRHO","BRNI","CESO","GITR","LENI","LOMU","MAEL","MICA","PLER","PLNO","TACA","THIR","TWIL","richness"
48.7666666666667,0.181182526318519,252.823013400741,0.454493427022222,4149.78225112222,0.768141035937037,0.579933333333333,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,9
46.2222222222222,0.176126333137037,250.830473052222,0.450999311485185,4555.18338035926,0.772516753359259,0.569705185185185,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,9
44.9222222222222,0.180838772911111,251.111358204444,0.432477614744444,4656.69110058519,0.779117057566667,0.569014814814815,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,9
43.5555555555556,0.175783186744444,239.006621293333,0.432250333003704,4350.91244147407,0.778422164714815,0.566538888888889,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,9
45.5555555555556,0.180950357614815,238.348343119259,0.434623175337037,4294.59293095556,0.781038523381481,0.557075925925926,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,9
47.4,0.191304261707407,248.548820226667,0.453629954485185,4297.30932265926,0.783725384825926,0.559177777777778,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,9
43.6666666666667,0.185893844892593,238.003012865556,0.42249264432963,4435.90192582593,0.780105248737037,0.567685185185185,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,9
45.8111111111111,0.189681177151852,237.485844898889,0.425777914837037,4464.34731938148,0.770391365122222,0.581927777777778,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,9
51.6,0.170060629211111,271.900005886667,0.471208427485185,4065.26219428519,0.760385413192593,0.580888518518519,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,9
50.3,0.174773068985185,272.180891038889,0.452686730744444,4166.76991451111,0.7669857174,0.580198148148148,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,9
48.9333333333333,0.169717482818519,260.076154127778,0.452459449003704,3860.9912554,0.766290824548148,0.577722222222222,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,9
