"cwm.height","cwm.ldmc","cwm.sla","cwm.rmf","cwm.crsl","cwm.pf","cwm.d","cv.height","cv.ldmc","cv.sla","cv.rmf","cv.crsl","cv.pf","cv.d","ACAM","AMME","ANAR","BRHO","BRNI","CESO","GITR","LENI","LOMU","MAEL","MICA","PLER","PLNO","TACA","THIR","TWIL","richness"
60.9333333333333,0.181493340088889,253.147675452778,0.428895049977778,4248.93460046111,0.75451108885,0.603325,0.917235701137073,0.357889958265959,0.278168131980423,0.309625473737564,0.310263881313223,0.109650355794087,0.248059206657376,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,6
46.7,0.180777590044444,252.606354523889,0.423543396288889,4257.23084788333,0.768830510122222,0.600797222222222,1.17310968268112,0.362534777736824,0.279202291562537,0.299470557172654,0.309409195722276,0.112160211249649,0.252282208116691,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,6
45.1,0.19680181435,240.035636830556,0.40215811815,4578.27612421667,0.771320281566667,0.600788888888889,1.24238794649569,0.32386174928966,0.331335573598213,0.287167731512352,0.328427828519637,0.114427821024634,0.252296818839547,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,6
53.1666666666667,0.187703258461111,271.639936082222,0.43247179215,3843.39434510556,0.753123271316667,0.617563888888889,0.987340371815678,0.329125407490409,0.297658475858499,0.317554748870278,0.441705013919686,0.110440501445483,0.232349067278131,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,6
49.35,0.180118968688889,268.651125559444,0.427230618844444,4451.49603896111,0.75968684745,0.602221666666667,1.07985726607388,0.36704431774985,0.288434940604014,0.306233192087955,0.310096931129152,0.108343300431221,0.249851040561976,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,6
47.4,0.18718762835,269.072453287778,0.399448073733333,4603.7576193,0.769587303761111,0.601186111111111,1.14595827614582,0.330714982973179,0.289625580249557,0.289583795597181,0.333381069062802,0.112798660838959,0.251605376038166,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,6
45.35,0.1796042491,250.915347921111,0.399107151122222,4145.08963063333,0.768544964483333,0.597472222222222,1.23088159013428,0.370723980746315,0.283093264390528,0.289957575163556,0.327502654534094,0.111931192652863,0.258464669586759,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,6
48.35,0.187355005405556,249.92793066,0.402666414622222,4060.61036485556,0.772469502483333,0.583277777777778,1.11204409698635,0.33018310389423,0.285827785817046,0.286823658967513,0.350337919414141,0.115631398133862,0.292306219082419,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,6
51.1166666666667,0.202885861544444,265.228646321111,0.431176583344444,4064.68495241111,0.77649979465,0.586430555555556,1.03132056205696,0.340805262613307,0.280262696914739,0.314587679525268,0.349061201588867,0.120565478352646,0.283807835813142,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,6
45.5166666666667,0.194770236322222,249.409935279444,0.384470618111111,4272.57385716111,0.771069590516667,0.599191666666667,1.22335332869406,0.321509146458379,0.287398198357713,0.320760927685972,0.308030327670937,0.11417810187254,0.255179713053738,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,6
48.7333333333333,0.200451234711111,248.634183329444,0.389398523872222,4315.24194749444,0.756498765094444,0.620555555555556,1.09928835509654,0.332420176980057,0.289924135820444,0.307202444630336,0.305553983366637,0.108841854203918,0.230831401619858,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,6
37.5666666666667,0.177328576811111,257.464492722222,0.451635018033333,4062.97835982222,0.765269069044444,0.573766666666667,0.89485097610475,0.380033252601449,0.265086201704567,0.303932948379753,0.301173816120682,0.113998639020526,0.260936382806723,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,6
35.9666666666667,0.193352801116667,244.893775028889,0.430249739894444,4384.02363615556,0.767758840488889,0.573758333333333,0.976391308424858,0.344669219956634,0.320380035939337,0.307757485986467,0.336234383461492,0.11639617858655,0.260948805034837,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,6
44.0333333333333,0.184254245227778,276.498074280556,0.460563413894444,3649.14185704444,0.749561830238889,0.590533333333333,0.727463309636121,0.348366559083726,0.280136603427854,0.314739075104296,0.429052722227179,0.1112896195323,0.246087058325221,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,6
